#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, апреля 5, 2026","суббота, апреля 11, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,2090,"67,51","208,1","150,77"
Завтрак,476,"16,98","45,84","35,82"
Обед,465,"16,13","46,12","35,96"
Ужин,573,"20,82","49,48","49,7"
Перекус/Другое,576,"13,58","66,65","29,3"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
 Ужин,670,"29,22","1,37","33,18",,"2,98","74,12",594,,
  Delicados Мексиканские Лепешки Tortillas,191,"4,62","1,37","31,68",,"2,98","4,62",594,,
   66 г
  Брест Литовск Сыр Тильзитер,167,"12,8",,0,,,"13,05",,,
   50 г
  Лента Сыр Лёгкий 30%,124,"8,8",,0,,,"16,95",,,
   50 г
  Grovo Удобное Яйцо Белки,78,0,,"1,5",,,"19,5",,,
"   1 1/2 x 100g, 150 г"
  Дымов Деликатес с Индейкой,110,3,,0,,,20,,,
   100 г
 Перекус/Другое,293,"13,64",,"11,97",15,,"21,06",,,
  Киндер Яйцо,83,"5,24",,"7,89",,,"1,26",,,
   15 г
  Bombbar Протеиновый Батончик Chocolate-Hazelnut,210,"8,4",,"4,08",15,,"19,8",,,
   60 г

"пятница, апреля 10, 2026",2287,"65,69",0,"189,67",0,"1,35","139,16",42,,54
 Завтрак,482,"17,29",,"54,29",,,"28,3",42,,54
  Шеф Перекресток Каша Пшенная на Молоке,260,11,,34,,,7,,,
"   1 порция, 250 г"
  Протеин+креатин+молоко,222,"6,29",,"20,29",,,"21,3",42,,54
   1 порция
 Обед,475,"25,25",,"35,25",,,"26,5",,,
  Перекресток Шашлык из Курицы в Кефире,475,"25,25",,"35,25",,,"26,5",,,
   250 г
 Ужин,381,"12,75",,"13,48",,,"52,71",,,
  Рестория Шеф  Капуста по Корейски Кимчи,60,"0,1",,"12,6",,,2,,,
   100 г
  X-Tra Сыр X-Tra Fit,126,"5,57",,0,,,"18,85",,,
   58 г
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",195,"7,08",,"0,88",,,"31,86",,,
   177 г
 Перекус/Другое,949,"10,4",0,"86,65",0,"1,35","31,65",0,,
  Hoegaarden Пиво Нефильтрованное,594,0,0,"47,25",0,"1,35","6,75",0,,
   1 350 мл
  Fish House Кальмар Стружка,92,"0,4",,6,,,16,,,
   40 г
"  Макдоналдс Капучино без Сахара (0,3 L)",89,"4,5",,"7,5",,,"4,5",,,
"   1 порция, 300 мл"
  Хлебник Сосиска в Тесте,125,"5,5",,14,,,"4,25",,,
   50 г
  Ударница Шармэль Зефир Яблочный,49,0,,"11,9",,,"0,15",,,
   15 г

"суббота, апреля 11, 2026",2811,"88,28","7,156","308,21","20,7","192,91","196,2",3060,31,551
 Завтрак,369,"11,59",,"30,87",0,"10,92","35,5",42,0,54
  Савушкин Продукт Йогурт Греческий Teos 2%,94,"2,8",,"5,88",0,"10,92","11,2",0,0,0
   140 г
  Протеин+креатин+молоко,275,"8,79",,"24,99",,,"24,3",42,,54
   1 порция
 Обед,482,"11,14",,"29,94",,,"66,68",,,
"  Новгородский Бекон Грудка Копчено-Вареная Экстра Сорт, Охлажденная",264,"9,6",,"1,2",,,"43,2",,,
   240 г
  Grovo Удобное Яйцо Белки,78,0,,"1,5",,,"19,5",,,
"   1 1/2 x 100g, 150 г"
  Хлебный Дом Батон Нарезной,140,"1,54",,"27,24",,,"3,98",,,
   53 г
 Ужин,307,"22,1",,"15,6",,,"11,18",,,
  Valio Йогурт Laplandia Сливочный,307,"22,1",,"15,6",,,"11,18",,,
   260 г
 Перекус/Другое,1653,"43,45","7,156","231,8","20,7","181,99","82,84",3018,31,497
  Бутерброд с Маслом и Сыром,188,"11,95","7,134","15,85","0,7","1,39","4,28",266,31,45
   50 г
  Ермолино Зефир Ванильный,362,0,,"89,71",,84,"0,85",,,
   120 г
  Чай с Медом,334,0,"0,022",92,0,"88,44","0,32",32,0,452
   5 кружки (240 мл)
  Ростик'c - KFC Стрипсы,596,"27,2",,"30,74",,"8,16","57,39",2720,,
   272 г
  Bombbar Протеиновый Батончик Малиновый Чизкейк,173,"4,3",,"3,5",20,0,20,,,
"   1 батончик, 60 г"

Всего,14633,"472,55","16,613","1456,68","75,3","408,12","1055,42",4562,109,2470
