#-------------------------------------------
# Food Diary Report - Detailed Report,"воскресенье, апреля 12, 2026","суббота, апреля 18, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,1969,"57,78","211,14","157,03"
Завтрак,524,"14,3","55,11","45,12"
Обед,508,"17,2","47,28","41,13"
Ужин,595,"16,96","61,9",50
Перекус/Другое,342,"9,32","46,85","20,78"

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
  Попкорн,293,"8,5","1,662","49,77","7,5","9,43","6,58",38,1,168
   68 г
  Фазер Хлеб Бездрожжевой Стройный Рецепт,60,"0,5",,12,"1,4",,"1,5",,,
"   1 кусок, 25 г"
  Тысяча Озер Сыр Лёгкий 15% Фасованный,78,"4,5",,0,,,9,,,
   30 г
  Салат с тунцом,244,"7,95","4,467","23,25",3,"8,16",23,114,26,684
   5 порции
 Перекус/Другое,86,"2,15",,"1,75",10,0,10,,,
  Bombbar Протеиновый Батончик Малиновый Чизкейк,86,"2,15",,"1,75",10,0,10,,,
"   1/2 x 1 батончик, 30 г"

"пятница, апреля 17, 2026",1975,"54,69","4,485","242,42","24,6","9,92","148,15",399,27,823
 Завтрак,422,"13,56","2,68","38,94","1,8","4,89","38,1",110,16,464
  Салат с тунцом,147,"4,77","2,68","13,95","1,8","4,89","13,8",68,16,410
   3 порции
  Протеин+креатин+молоко,275,"8,79",,"24,99",,,"24,3",42,,54
   1 порция
 Обед,440,"15,7",,"53,7",,,21,,,
  Перекресток Котлета Де-Воляй из Куриного Филе с Грибами и Спагетти,440,"15,7",,"53,7",,,21,,,
"   1 порция, 250 г"
 Ужин,604,"19,74","1,805","48,5","2,4","5,03","64,56",289,11,359
  Квашеная Капуста,10,"0,06","0,018","2,16","1,2","0,89","0,45",242,0,85
   50 г
  Салат с тунцом,98,"3,18","1,787","9,3","1,2","3,26","9,2",46,11,274
   2 порции
  Качковая лепешка,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
   1 порция
 Перекус/Другое,509,"5,69",,"101,28","20,4",,"24,49",,,
  Ударница Мармеладки в Шоколаде Шарм,328,"0,53",,"77,88",,,"1,69",,,
   89 г
  Guarchibao Батончик в Шоколадной Глазури со Вкусом Чизкейка,181,"5,16",,"23,4","20,4",,"22,8",,,
   60 г

"суббота, апреля 18, 2026",1918,"50,56","1,134","204,85","7,4","41,76","171,9",1120,57,780
 Завтрак,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
  Качковая лепешка,496,"16,5",0,"37,04",0,"0,88","54,91",1,,
   1 порция
 Обед,805,"21,28","1,002","97,13","4,3","26,45",59,1076,57,304
  Молочная Станция Кефир 1%,175,5,,20,,,15,,,
   500 мл
  Мёд,64,0,0,"17,3",0,"17,25","0,06",1,0,11
   1 ст л
  Оладьи,165,"3,94","0,858","27,16","0,7","7,3","4,79",305,57,66
   3 штуке
  Лаваш Армянский,142,"0,7","0,109","28,39","1,1","0,12","4,99",109,0,57
   50 г
  Дымов Деликатес с Индейкой,110,3,,0,,,20,,,
   100 г
  Брест Литовск Сыр Лёгкий 35%,130,"8,5",,0,0,0,"13,25",,,
   50 г
  Приготовленная Квашеная Капуста,19,"0,14","0,035","4,28","2,5","1,78","0,91",661,0,170
   100 г
 Ужин,617,"12,78","0,132","70,68","3,1","14,43","57,99",43,0,476
  Barinoff Сироп Клубника,52,0,,"12,8",,,0,,,
   20 г
  Свитлогорье Творог 2%,185,"3,6",,"5,94",,,"32,4",,,
   180 г
  Протеин+креатин+молоко,275,"8,79",,"24,99",,,"24,3",42,,54
   1 порция
  Банан,105,"0,39","0,132","26,95","3,1","14,43","1,29",1,0,422
   1 средний (18 см - 20 см в длину)
 Перекус/Другое,,,,,,,,,,

Всего,13780,"404,47","27,757","1477,97","249,5","267,35","1099,2",3362,738,4171
